"날짜","종가","오픈","고가","저가","변동 %"
"2017년 12월 20일","1.1871","1.1840","1.1903","1.1829","0.26%"
"2017년 12월 19일","1.1840","1.1782","1.1851","1.1777","0.49%"
"2017년 12월 18일","1.1782","1.1753","1.1834","1.1737","0.24%"
"2017년 12월 15일","1.1754","1.1778","1.1814","1.1751","-0.20%"
"2017년 12월 14일","1.1778","1.1826","1.1863","1.1770","-0.41%"
"2017년 12월 13일","1.1826","1.1743","1.1832","1.1729","0.72%"
"2017년 12월 12일","1.1742","1.1770","1.1794","1.1718","-0.22%"
"2017년 12월 11일","1.1768","1.1768","1.1812","1.1761","0.03%"
"2017년 12월 08일","1.1764","1.1772","1.1778","1.1729","-0.08%"
"2017년 12월 07일","1.1773","1.1796","1.1816","1.1772","-0.19%"
"2017년 12월 06일","1.1796","1.1825","1.1849","1.1780","-0.25%"
"2017년 12월 05일","1.1826","1.1866","1.1879","1.1801","-0.34%"
"2017년 12월 04일","1.1866","1.1882","1.1890","1.1830","-0.21%"
"2017년 12월 01일","1.1891","1.1904","1.1942","1.1851","-0.11%"
"2017년 11월 30일","1.1904","1.1847","1.1933","1.1809","0.47%"
"2017년 11월 29일","1.1848","1.1841","1.1883","1.1816","0.06%"
"2017년 11월 28일","1.1841","1.1898","1.1921","1.1827","-0.48%"
"2017년 11월 27일","1.1898","1.1933","1.1962","1.1896","-0.27%"
"2017년 11월 24일","1.1930","1.1850","1.1944","1.1835","0.66%"
"2017년 11월 23일","1.1852","1.1822","1.1856","1.1812","0.25%"
"2017년 11월 22일","1.1822","1.1738","1.1829","1.1733","0.72%"
"2017년 11월 21일","1.1738","1.1732","1.1759","1.1713","0.05%"
"2017년 11월 20일","1.1732","1.1789","1.1808","1.1721","-0.53%"
